CMS-2023 Paper 1 Answer Key

Q.1: A, Q.2: D, Q.3: D, Q.4: A, Q.5: B, Q.6: A, Q.7: B, Q.8: B, Q.9: D, Q.10: C
Q.11: D, Q.12: B, Q.13: A, Q.14: B, Q.15: D, Q.16: C, Q.17: C, Q.18: A, Q.19: C, Q.20: A
Q.21: B, Q.22: A, Q.23: D, Q.24: D, Q.25: A, Q.26: D, Q.27: D, Q.28: D, Q.29: B, Q.30: D
Q.31: D, Q.32: C, Q.33: C, Q.34: A, Q.35: B, Q.36: C, Q.37: C, Q.38: A, Q.39: A, Q.40: A
Q.41: B, Q.42: B, Q.43: D, Q.44: D, Q.45: D, Q.46: A, Q.47: A, Q.48: A, Q.49: C, Q.50: B
Q.51: C, Q.52: C, Q.53: D, Q.54: D, Q.55: D, Q.56: B, Q.57: A, Q.58: D, Q.59: C, Q.60: A
Q.61: B, Q.62: D, Q.63: C, Q.64: C, Q.65: A, Q.66: A, Q.67: A, Q.68: D, Q.69: A, Q.70: B
Q.71: C, Q.72: C, Q.73: B, Q.74: A, Q.75: A, Q.76: D, Q.77: A, Q.78: A, Q.79: C, Q.80: X
Q.81: B, Q.82: D, Q.83: A, Q.84: D, Q.85: D, Q.86: A, Q.87: C, Q.88: C, Q.89: A, Q.90: C
Q.91: B, Q.92: B, Q.93: A, Q.94: B, Q.95: A, Q.96: A, Q.97: B, Q.98: A, Q.99: B, Q.100: A
Q.101: A, Q.102: A, Q.103: C, Q.104: D, Q.105: A, Q.106: B, Q.107: B, Q.108: C, Q.109: B, Q.110: A
Q.111: A, Q.112: A, Q.113: D, Q.114: B, Q.115: B, Q.116: D, Q.117: A, Q.118: D, Q.119: C, Q.120: D
