CMS-2023 Paper 2 Answer Key
Subject: Surgery, Gynecology & Obstetrics, PSM
Series A

Q.1: D, Q.2: B, Q.3: A, Q.4: B, Q.5: A, Q.6: D, Q.7: A, Q.8: C, Q.9: C, Q.10: C
Q.11: C, Q.12: A, Q.13: C, Q.14: A, Q.15: C, Q.16: A, Q.17: C, Q.18: D, Q.19: A, Q.20: C
Q.21: D, Q.22: B, Q.23: B, Q.24: B, Q.25: C, Q.26: B, Q.27: C, Q.28: B, Q.29: B, Q.30: D
Q.31: C, Q.32: A, Q.33: B, Q.34: D, Q.35: B, Q.36: C, Q.37: B, Q.38: B, Q.39: C, Q.40: A
Q.41: B, Q.42: A, Q.43: B, Q.44: D, Q.45: C, Q.46: A, Q.47: C, Q.48: B, Q.49: C, Q.50: D
Q.51: D, Q.52: C, Q.53: C, Q.54: B, Q.55: A, Q.56: D, Q.57: D, Q.58: C, Q.59: C, Q.60: A
Q.61: B, Q.62: D, Q.63: B, Q.64: D, Q.65: B, Q.66: B, Q.67: C, Q.68: C, Q.69: A, Q.70: B
Q.71: D, Q.72: B, Q.73: A, Q.74: B, Q.75: A, Q.76: A, Q.77: C, Q.78: B, Q.79: C, Q.80: B
Q.81: D, Q.82: A, Q.83: A, Q.84: B, Q.85: D, Q.86: B, Q.87: C, Q.88: A, Q.89: B, Q.90: C
Q.91: B, Q.92: B, Q.93: D, Q.94: B, Q.95: B, Q.96: D, Q.97: D, Q.98: B, Q.99: B, Q.100: C
Q.101: C, Q.102: B, Q.103: B, Q.104: A, Q.105: B, Q.106: C, Q.107: D, Q.108: D, Q.109: A, Q.110: D
Q.111: C, Q.112: D, Q.113: D, Q.114: C, Q.115: A, Q.116: D, Q.117: A, Q.118: C, Q.119: C, Q.120: B
